old;new
Beleidsondersteuning onderwijs - vrijdag 18 maart 2022 (14.00 tot 17.00);Beleidsondersteuning onderwijs
Beleidsondersteuning onderwijs - vrijdag 19 november 2021 (14.00 - 17.00);Beleidsondersteuning onderwijs
BO - Bestuurssecretaris;Bestuurssecretaris
BO - Business Manager Descartes Centre;Business Manager van het Descartes Centre
BO - Coördinatoren Bedrijfsvoering;Coördinatoren Bedrijfsvoering
BO - Educate-it;Educate-it
BO Educate-it;Educate-it
Business Manager Descartes Centre;Business Manager van het Descartes Centre
Career Services GW;Career Services
CDH;Centre for Digital Humanities
Coördinator bedrijfsvoering;Coördinatoren Bedrijfsvoering
DH Lab;Centre for Digital Humanities
Digital Humanities Lab;Centre for Digital Humanities
Digital Humanities;Centre for Digital Humanities
DIR - Faculteitsdirecteur Rob Grift;Faculteitsdirecteur
Educate-it GW;Educate-it
Ethische Toetsingscommissie gw;Ethische Toetsingscommissie
Facultaire Ethische Toetsingscommissie GW;Ethische Toetsingscommissie
Finance & Control;Finance & control
Hoofd Onderwijsondersteuning en Studentzaken;Hoofd Onderwijsondersteuning en Studentzaken (OSZ)
ICT & Media, Digital Humanities Lab;Centre for Digital Humanities
ICT & Media;Centre for Digital Humanities
International Office - inkomende studenten eerste collegeweek februari;International Office - inkomende studenten
International Office: meet the world - februari 2021;International Office - Meet the world
International Office: meet the world;International Office - Meet the world
IO - International Office - Meet the world;International Office - Meet the world
Key-user Osiris;Osiris key-users
Onderwijsbeleid in de praktijk - vrijdag 27 november;Onderwijsbeleid
Onderwijscoördinator GKG;Onderwijscoördinator
Onderwijscoördinatoren;Onderwijscoördinator
Onderwijssecretariaat: Wel achter de schermen maar voor;Onderwijssecretariaat
Osiris Key-users;Osiris key-users
OSZ - De student aan het woord (Studieadviseurs);Studieadviseurs
OSZ - Key Users Osiris;Osiris key-users
OSZ - Onderwijscoördinatoren;Onderwijscoördinator
OSZ - Onderwijssecretariaat: Wel achter de schermen maar voor...;Onderwijssecretariaat
OSZ - Onderzoekscoördinatoren;Onderzoekscoördinatoren
Studieadviseur Maaike Wouda;Studieadviseurs
Vakspecialisten GW: Universiteitsbibliotheek;Vakspecialisten GW
